,image_path
0,L:\DL_Dataset\facescape\fsmview_trainset\1\10_dimpler\1.jpg
1,L:\DL_Dataset\facescape\fsmview_trainset\1\10_dimpler\33.jpg
2,L:\DL_Dataset\facescape\fsmview_trainset\1\10_dimpler\34.jpg
3,L:\DL_Dataset\facescape\fsmview_trainset\1\10_dimpler\42.jpg
4,L:\DL_Dataset\facescape\fsmview_trainset\1\11_chin_raiser\1.jpg
5,L:\DL_Dataset\facescape\fsmview_trainset\1\11_chin_raiser\33.jpg
6,L:\DL_Dataset\facescape\fsmview_trainset\1\11_chin_raiser\34.jpg
7,L:\DL_Dataset\facescape\fsmview_trainset\1\11_chin_raiser\43.jpg
8,L:\DL_Dataset\facescape\fsmview_trainset\1\12_lip_puckerer\1.jpg
9,L:\DL_Dataset\facescape\fsmview_trainset\1\12_lip_puckerer\33.jpg
10,L:\DL_Dataset\facescape\fsmview_trainset\1\12_lip_puckerer\34.jpg
11,L:\DL_Dataset\facescape\fsmview_trainset\1\12_lip_puckerer\43.jpg
12,L:\DL_Dataset\facescape\fsmview_trainset\1\13_lip_funneler\1.jpg
13,L:\DL_Dataset\facescape\fsmview_trainset\1\13_lip_funneler\34.jpg
14,L:\DL_Dataset\facescape\fsmview_trainset\1\13_lip_funneler\35.jpg
15,L:\DL_Dataset\facescape\fsmview_trainset\1\13_lip_funneler\43.jpg
16,L:\DL_Dataset\facescape\fsmview_trainset\1\14_sadness\1.jpg
17,L:\DL_Dataset\facescape\fsmview_trainset\1\14_sadness\33.jpg
18,L:\DL_Dataset\facescape\fsmview_trainset\1\14_sadness\34.jpg
19,L:\DL_Dataset\facescape\fsmview_trainset\1\14_sadness\43.jpg
20,L:\DL_Dataset\facescape\fsmview_trainset\1\15_lip_roll\1.jpg
21,L:\DL_Dataset\facescape\fsmview_trainset\1\15_lip_roll\33.jpg
22,L:\DL_Dataset\facescape\fsmview_trainset\1\15_lip_roll\34.jpg
23,L:\DL_Dataset\facescape\fsmview_trainset\1\15_lip_roll\43.jpg
24,L:\DL_Dataset\facescape\fsmview_trainset\1\16_grin\1.jpg
25,L:\DL_Dataset\facescape\fsmview_trainset\1\16_grin\33.jpg
26,L:\DL_Dataset\facescape\fsmview_trainset\1\16_grin\34.jpg
27,L:\DL_Dataset\facescape\fsmview_trainset\1\16_grin\43.jpg
28,L:\DL_Dataset\facescape\fsmview_trainset\1\17_cheek_blowing\1.jpg
29,L:\DL_Dataset\facescape\fsmview_trainset\1\17_cheek_blowing\33.jpg
30,L:\DL_Dataset\facescape\fsmview_trainset\1\17_cheek_blowing\34.jpg
31,L:\DL_Dataset\facescape\fsmview_trainset\1\17_cheek_blowing\43.jpg
32,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\1.jpg
33,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\34.jpg
34,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\35.jpg
35,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\44.jpg
36,L:\DL_Dataset\facescape\fsmview_trainset\1\19_brow_raiser\1.jpg
37,L:\DL_Dataset\facescape\fsmview_trainset\1\19_brow_raiser\33.jpg
38,L:\DL_Dataset\facescape\fsmview_trainset\1\19_brow_raiser\34.jpg
39,L:\DL_Dataset\facescape\fsmview_trainset\1\19_brow_raiser\43.jpg
40,L:\DL_Dataset\facescape\fsmview_trainset\1\1_neutral\1.jpg
41,L:\DL_Dataset\facescape\fsmview_trainset\1\1_neutral\33.jpg
42,L:\DL_Dataset\facescape\fsmview_trainset\1\1_neutral\34.jpg
43,L:\DL_Dataset\facescape\fsmview_trainset\1\1_neutral\43.jpg
44,L:\DL_Dataset\facescape\fsmview_trainset\1\20_brow_lower\1.jpg
45,L:\DL_Dataset\facescape\fsmview_trainset\1\20_brow_lower\33.jpg
46,L:\DL_Dataset\facescape\fsmview_trainset\1\20_brow_lower\34.jpg
47,L:\DL_Dataset\facescape\fsmview_trainset\1\20_brow_lower\43.jpg
48,L:\DL_Dataset\facescape\fsmview_trainset\1\2_smile\1.jpg
49,L:\DL_Dataset\facescape\fsmview_trainset\1\2_smile\32.jpg
50,L:\DL_Dataset\facescape\fsmview_trainset\1\2_smile\33.jpg
51,L:\DL_Dataset\facescape\fsmview_trainset\1\2_smile\42.jpg
52,L:\DL_Dataset\facescape\fsmview_trainset\1\3_mouth_stretch\1.jpg
53,L:\DL_Dataset\facescape\fsmview_trainset\1\3_mouth_stretch\33.jpg
54,L:\DL_Dataset\facescape\fsmview_trainset\1\3_mouth_stretch\34.jpg
55,L:\DL_Dataset\facescape\fsmview_trainset\1\3_mouth_stretch\43.jpg
56,L:\DL_Dataset\facescape\fsmview_trainset\1\4_anger\1.jpg
57,L:\DL_Dataset\facescape\fsmview_trainset\1\4_anger\33.jpg
58,L:\DL_Dataset\facescape\fsmview_trainset\1\4_anger\34.jpg
59,L:\DL_Dataset\facescape\fsmview_trainset\1\4_anger\43.jpg
60,L:\DL_Dataset\facescape\fsmview_trainset\1\5_jaw_left\1.jpg
61,L:\DL_Dataset\facescape\fsmview_trainset\1\5_jaw_left\33.jpg
62,L:\DL_Dataset\facescape\fsmview_trainset\1\5_jaw_left\34.jpg
63,L:\DL_Dataset\facescape\fsmview_trainset\1\5_jaw_left\43.jpg
64,L:\DL_Dataset\facescape\fsmview_trainset\1\6_jaw_right\1.jpg
65,L:\DL_Dataset\facescape\fsmview_trainset\1\6_jaw_right\33.jpg
66,L:\DL_Dataset\facescape\fsmview_trainset\1\6_jaw_right\34.jpg
67,L:\DL_Dataset\facescape\fsmview_trainset\1\6_jaw_right\43.jpg
68,L:\DL_Dataset\facescape\fsmview_trainset\1\7_jaw_forward\1.jpg
69,L:\DL_Dataset\facescape\fsmview_trainset\1\7_jaw_forward\33.jpg
70,L:\DL_Dataset\facescape\fsmview_trainset\1\7_jaw_forward\34.jpg
71,L:\DL_Dataset\facescape\fsmview_trainset\1\7_jaw_forward\43.jpg
72,L:\DL_Dataset\facescape\fsmview_trainset\1\8_mouth_left\1.jpg
73,L:\DL_Dataset\facescape\fsmview_trainset\1\8_mouth_left\32.jpg
74,L:\DL_Dataset\facescape\fsmview_trainset\1\8_mouth_left\33.jpg
75,L:\DL_Dataset\facescape\fsmview_trainset\1\8_mouth_left\42.jpg
76,L:\DL_Dataset\facescape\fsmview_trainset\1\9_mouth_right\1.jpg
77,L:\DL_Dataset\facescape\fsmview_trainset\1\9_mouth_right\33.jpg
78,L:\DL_Dataset\facescape\fsmview_trainset\1\9_mouth_right\34.jpg
79,L:\DL_Dataset\facescape\fsmview_trainset\1\9_mouth_right\43.jpg
80,L:\DL_Dataset\facescape\fsmview_trainset\10\10_dimpler\1.jpg
81,L:\DL_Dataset\facescape\fsmview_trainset\10\10_dimpler\32.jpg
82,L:\DL_Dataset\facescape\fsmview_trainset\10\10_dimpler\33.jpg
83,L:\DL_Dataset\facescape\fsmview_trainset\10\10_dimpler\42.jpg
84,L:\DL_Dataset\facescape\fsmview_trainset\10\11_chin_raiser\1.jpg
85,L:\DL_Dataset\facescape\fsmview_trainset\10\11_chin_raiser\33.jpg
86,L:\DL_Dataset\facescape\fsmview_trainset\10\11_chin_raiser\34.jpg
87,L:\DL_Dataset\facescape\fsmview_trainset\10\11_chin_raiser\43.jpg
88,L:\DL_Dataset\facescape\fsmview_trainset\10\12_lip_puckerer\1.jpg
89,L:\DL_Dataset\facescape\fsmview_trainset\10\12_lip_puckerer\33.jpg
90,L:\DL_Dataset\facescape\fsmview_trainset\10\12_lip_puckerer\34.jpg
91,L:\DL_Dataset\facescape\fsmview_trainset\10\12_lip_puckerer\43.jpg
92,L:\DL_Dataset\facescape\fsmview_trainset\10\13_lip_funneler\1.jpg
93,L:\DL_Dataset\facescape\fsmview_trainset\10\13_lip_funneler\33.jpg
94,L:\DL_Dataset\facescape\fsmview_trainset\10\13_lip_funneler\34.jpg
95,L:\DL_Dataset\facescape\fsmview_trainset\10\13_lip_funneler\43.jpg
96,L:\DL_Dataset\facescape\fsmview_trainset\10\14_sadness\1.jpg
97,L:\DL_Dataset\facescape\fsmview_trainset\10\14_sadness\33.jpg
98,L:\DL_Dataset\facescape\fsmview_trainset\10\14_sadness\34.jpg
99,L:\DL_Dataset\facescape\fsmview_trainset\10\14_sadness\43.jpg
100,L:\DL_Dataset\facescape\fsmview_trainset\10\15_lip_roll\1.jpg
101,L:\DL_Dataset\facescape\fsmview_trainset\10\15_lip_roll\34.jpg
102,L:\DL_Dataset\facescape\fsmview_trainset\10\15_lip_roll\35.jpg
103,L:\DL_Dataset\facescape\fsmview_trainset\10\15_lip_roll\44.jpg
104,L:\DL_Dataset\facescape\fsmview_trainset\10\16_grin\1.jpg
105,L:\DL_Dataset\facescape\fsmview_trainset\10\16_grin\34.jpg
106,L:\DL_Dataset\facescape\fsmview_trainset\10\16_grin\35.jpg
107,L:\DL_Dataset\facescape\fsmview_trainset\10\16_grin\44.jpg
108,L:\DL_Dataset\facescape\fsmview_trainset\10\17_cheek_blowing\1.jpg
109,L:\DL_Dataset\facescape\fsmview_trainset\10\17_cheek_blowing\33.jpg
110,L:\DL_Dataset\facescape\fsmview_trainset\10\17_cheek_blowing\34.jpg
111,L:\DL_Dataset\facescape\fsmview_trainset\10\17_cheek_blowing\43.jpg
112,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\1.jpg
113,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\33.jpg
114,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\34.jpg
115,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\43.jpg
116,L:\DL_Dataset\facescape\fsmview_trainset\10\19_brow_raiser\1.jpg
117,L:\DL_Dataset\facescape\fsmview_trainset\10\19_brow_raiser\34.jpg
118,L:\DL_Dataset\facescape\fsmview_trainset\10\19_brow_raiser\35.jpg
119,L:\DL_Dataset\facescape\fsmview_trainset\10\19_brow_raiser\44.jpg
120,L:\DL_Dataset\facescape\fsmview_trainset\10\1_neutral\1.jpg
121,L:\DL_Dataset\facescape\fsmview_trainset\10\1_neutral\33.jpg
122,L:\DL_Dataset\facescape\fsmview_trainset\10\1_neutral\34.jpg
123,L:\DL_Dataset\facescape\fsmview_trainset\10\1_neutral\43.jpg
124,L:\DL_Dataset\facescape\fsmview_trainset\10\20_brow_lower\1.jpg
125,L:\DL_Dataset\facescape\fsmview_trainset\10\20_brow_lower\33.jpg
126,L:\DL_Dataset\facescape\fsmview_trainset\10\20_brow_lower\34.jpg
127,L:\DL_Dataset\facescape\fsmview_trainset\10\20_brow_lower\43.jpg
128,L:\DL_Dataset\facescape\fsmview_trainset\10\2_smile\1.jpg
129,L:\DL_Dataset\facescape\fsmview_trainset\10\2_smile\33.jpg
130,L:\DL_Dataset\facescape\fsmview_trainset\10\2_smile\34.jpg
131,L:\DL_Dataset\facescape\fsmview_trainset\10\2_smile\43.jpg
132,L:\DL_Dataset\facescape\fsmview_trainset\10\3_mouth_stretch\1.jpg
133,L:\DL_Dataset\facescape\fsmview_trainset\10\3_mouth_stretch\33.jpg
134,L:\DL_Dataset\facescape\fsmview_trainset\10\3_mouth_stretch\34.jpg
135,L:\DL_Dataset\facescape\fsmview_trainset\10\3_mouth_stretch\43.jpg
136,L:\DL_Dataset\facescape\fsmview_trainset\10\4_anger\1.jpg
137,L:\DL_Dataset\facescape\fsmview_trainset\10\4_anger\33.jpg
138,L:\DL_Dataset\facescape\fsmview_trainset\10\4_anger\34.jpg
139,L:\DL_Dataset\facescape\fsmview_trainset\10\4_anger\43.jpg
140,L:\DL_Dataset\facescape\fsmview_trainset\10\5_jaw_left\1.jpg
141,L:\DL_Dataset\facescape\fsmview_trainset\10\5_jaw_left\33.jpg
142,L:\DL_Dataset\facescape\fsmview_trainset\10\5_jaw_left\34.jpg
143,L:\DL_Dataset\facescape\fsmview_trainset\10\5_jaw_left\43.jpg
144,L:\DL_Dataset\facescape\fsmview_trainset\10\6_jaw_right\1.jpg
145,L:\DL_Dataset\facescape\fsmview_trainset\10\6_jaw_right\33.jpg
