,image_path,area,eyeblink
0,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\1.jpg,0.274262812463064,1.0
1,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\34.jpg,0.04765683506961684,1.0
2,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\35.jpg,0.04930540053452253,1.0
3,L:\DL_Dataset\facescape\fsmview_trainset\1\18_eye_closed\44.jpg,0.11820407677325581,1.0
4,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\1.jpg,0.11625950509227787,1.0
5,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\33.jpg,0.0009883182249649503,1.0
6,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\34.jpg,0.07819394682219392,1.0
7,L:\DL_Dataset\facescape\fsmview_trainset\10\18_eye_closed\43.jpg,0.09865536856763803,1.0
8,L:\DL_Dataset\facescape\fsmview_trainset\100\18_eye_closed\1.jpg,0.04449453554284476,1.0
9,L:\DL_Dataset\facescape\fsmview_trainset\100\18_eye_closed\19.jpg,0.04625439180107771,1.0
10,L:\DL_Dataset\facescape\fsmview_trainset\100\18_eye_closed\49.jpg,0.14146617443189663,1.0
11,L:\DL_Dataset\facescape\fsmview_trainset\100\18_eye_closed\57.jpg,0.07084415104151724,1.0
12,L:\DL_Dataset\facescape\fsmview_trainset\101\18_eye_closed\25.jpg,0.050507046192095555,1.0
13,L:\DL_Dataset\facescape\fsmview_trainset\101\18_eye_closed\27.jpg,0.07998251648294291,1.0
14,L:\DL_Dataset\facescape\fsmview_trainset\101\18_eye_closed\33.jpg,0.06588198166603383,1.0
15,L:\DL_Dataset\facescape\fsmview_trainset\101\18_eye_closed\60.jpg,0.16763033415568593,1.0
16,L:\DL_Dataset\facescape\fsmview_trainset\102\18_eye_closed\1.jpg,1.248330794901351,1.0
17,L:\DL_Dataset\facescape\fsmview_trainset\102\18_eye_closed\33.jpg,0.4579364572359273,1.0
18,L:\DL_Dataset\facescape\fsmview_trainset\102\18_eye_closed\34.jpg,0.3976086300346232,1.0
19,L:\DL_Dataset\facescape\fsmview_trainset\102\18_eye_closed\43.jpg,0.584466457350693,1.0
20,L:\DL_Dataset\facescape\fsmview_trainset\103\18_eye_closed\1.jpg,0.04910155076148763,1.0
21,L:\DL_Dataset\facescape\fsmview_trainset\103\18_eye_closed\33.jpg,0.14828065931189646,1.0
22,L:\DL_Dataset\facescape\fsmview_trainset\103\18_eye_closed\34.jpg,0.011939800063463438,1.0
23,L:\DL_Dataset\facescape\fsmview_trainset\103\18_eye_closed\43.jpg,0.12403562725458651,1.0
24,L:\DL_Dataset\facescape\fsmview_trainset\104\18_eye_closed\11.jpg,0.1208513751221561,1.0
25,L:\DL_Dataset\facescape\fsmview_trainset\104\18_eye_closed\29.jpg,0.12332563466647427,1.0
26,L:\DL_Dataset\facescape\fsmview_trainset\104\18_eye_closed\43.jpg,0.24337055568282714,1.0
27,L:\DL_Dataset\facescape\fsmview_trainset\104\18_eye_closed\51.jpg,0.25230314083892097,1.0
28,L:\DL_Dataset\facescape\fsmview_trainset\105\18_eye_closed\14.jpg,0.0011656905466900485,1.0
29,L:\DL_Dataset\facescape\fsmview_trainset\105\18_eye_closed\16.jpg,0.06022018744383384,1.0
30,L:\DL_Dataset\facescape\fsmview_trainset\105\18_eye_closed\17.jpg,0.05624708072554677,1.0
31,L:\DL_Dataset\facescape\fsmview_trainset\105\18_eye_closed\18.jpg,0.005390711274388894,1.0
32,L:\DL_Dataset\facescape\fsmview_trainset\106\18_eye_closed\1.jpg,0.04521372364164611,1.0
33,L:\DL_Dataset\facescape\fsmview_trainset\106\18_eye_closed\33.jpg,0.10709638299444517,1.0
34,L:\DL_Dataset\facescape\fsmview_trainset\106\18_eye_closed\34.jpg,0.011652483324212863,1.0
35,L:\DL_Dataset\facescape\fsmview_trainset\106\18_eye_closed\43.jpg,0.05714346528879674,1.0
36,L:\DL_Dataset\facescape\fsmview_trainset\107\18_eye_closed\14.jpg,0.01800805099022242,1.0
37,L:\DL_Dataset\facescape\fsmview_trainset\107\18_eye_closed\16.jpg,0.02981026813278177,1.0
38,L:\DL_Dataset\facescape\fsmview_trainset\107\18_eye_closed\17.jpg,0.06920476026792272,1.0
39,L:\DL_Dataset\facescape\fsmview_trainset\107\18_eye_closed\18.jpg,0.026072161690152196,1.0
40,L:\DL_Dataset\facescape\fsmview_trainset\108\18_eye_closed\25.jpg,0.041301006312644974,1.0
41,L:\DL_Dataset\facescape\fsmview_trainset\108\18_eye_closed\27.jpg,0.035632358082348554,1.0
42,L:\DL_Dataset\facescape\fsmview_trainset\108\18_eye_closed\33.jpg,0.0014253767102480903,1.0
43,L:\DL_Dataset\facescape\fsmview_trainset\108\18_eye_closed\60.jpg,0.5632117425834599,1.0
44,L:\DL_Dataset\facescape\fsmview_trainset\109\18_eye_closed\1.jpg,0.034950321724611697,1.0
45,L:\DL_Dataset\facescape\fsmview_trainset\109\18_eye_closed\33.jpg,0.027848048973641563,1.0
46,L:\DL_Dataset\facescape\fsmview_trainset\109\18_eye_closed\34.jpg,0.009842290359206023,1.0
47,L:\DL_Dataset\facescape\fsmview_trainset\109\18_eye_closed\43.jpg,0.004970594970309315,1.0
48,L:\DL_Dataset\facescape\fsmview_trainset\11\18_eye_closed\25.jpg,0.0009866079038046217,1.0
49,L:\DL_Dataset\facescape\fsmview_trainset\11\18_eye_closed\27.jpg,0.04074662910140182,1.0
50,L:\DL_Dataset\facescape\fsmview_trainset\11\18_eye_closed\33.jpg,0.32892263558288326,1.0
51,L:\DL_Dataset\facescape\fsmview_trainset\11\18_eye_closed\60.jpg,0.23139213786357432,1.0
52,L:\DL_Dataset\facescape\fsmview_trainset\110\18_eye_closed\14.jpg,0.10714906448381299,1.0
53,L:\DL_Dataset\facescape\fsmview_trainset\110\18_eye_closed\16.jpg,0.34372283045118773,1.0
54,L:\DL_Dataset\facescape\fsmview_trainset\110\18_eye_closed\17.jpg,0.11532569249474402,1.0
55,L:\DL_Dataset\facescape\fsmview_trainset\111\18_eye_closed\1.jpg,0.06626715145935229,1.0
56,L:\DL_Dataset\facescape\fsmview_trainset\111\18_eye_closed\33.jpg,0.03134015666915581,1.0
57,L:\DL_Dataset\facescape\fsmview_trainset\111\18_eye_closed\34.jpg,0.0791418894609988,1.0
58,L:\DL_Dataset\facescape\fsmview_trainset\111\18_eye_closed\43.jpg,0.03884404249924893,1.0
59,L:\DL_Dataset\facescape\fsmview_trainset\112\18_eye_closed\1.jpg,0.07620054085237017,1.0
60,L:\DL_Dataset\facescape\fsmview_trainset\112\18_eye_closed\33.jpg,0.03175002056421913,1.0
61,L:\DL_Dataset\facescape\fsmview_trainset\112\18_eye_closed\34.jpg,0.05229012050242107,1.0
62,L:\DL_Dataset\facescape\fsmview_trainset\112\18_eye_closed\43.jpg,0.2023401094964366,1.0
63,L:\DL_Dataset\facescape\fsmview_trainset\113\18_eye_closed\25.jpg,0.03678015988769059,1.0
64,L:\DL_Dataset\facescape\fsmview_trainset\113\18_eye_closed\27.jpg,0.020184090281940542,1.0
65,L:\DL_Dataset\facescape\fsmview_trainset\113\18_eye_closed\33.jpg,0.017242097523346694,1.0
66,L:\DL_Dataset\facescape\fsmview_trainset\113\18_eye_closed\60.jpg,0.0008942415540568376,1.0
67,L:\DL_Dataset\facescape\fsmview_trainset\114\18_eye_closed\14.jpg,0.12772181204992597,1.0
68,L:\DL_Dataset\facescape\fsmview_trainset\114\18_eye_closed\16.jpg,0.17951940438683045,1.0
69,L:\DL_Dataset\facescape\fsmview_trainset\114\18_eye_closed\17.jpg,0.340272855060565,1.0
70,L:\DL_Dataset\facescape\fsmview_trainset\114\18_eye_closed\18.jpg,0.09086683740434238,1.0
71,L:\DL_Dataset\facescape\fsmview_trainset\115\18_eye_closed\25.jpg,0.021066701231662568,1.0
72,L:\DL_Dataset\facescape\fsmview_trainset\115\18_eye_closed\27.jpg,0.014917861076141016,1.0
73,L:\DL_Dataset\facescape\fsmview_trainset\115\18_eye_closed\33.jpg,0.008089365921650271,1.0
74,L:\DL_Dataset\facescape\fsmview_trainset\115\18_eye_closed\60.jpg,0.18970694190433696,1.0
75,L:\DL_Dataset\facescape\fsmview_trainset\116\18_eye_closed\25.jpg,0.040637376408081634,1.0
76,L:\DL_Dataset\facescape\fsmview_trainset\116\18_eye_closed\27.jpg,0.04875991713694868,1.0
77,L:\DL_Dataset\facescape\fsmview_trainset\116\18_eye_closed\33.jpg,0.0405132053853304,1.0
78,L:\DL_Dataset\facescape\fsmview_trainset\116\18_eye_closed\60.jpg,0.30070229434269685,1.0
79,L:\DL_Dataset\facescape\fsmview_trainset\117\18_eye_closed\13.jpg,0.006379097673234487,1.0
80,L:\DL_Dataset\facescape\fsmview_trainset\117\18_eye_closed\15.jpg,0.15919259117988085,1.0
81,L:\DL_Dataset\facescape\fsmview_trainset\117\18_eye_closed\16.jpg,0.004499817089359134,1.0
82,L:\DL_Dataset\facescape\fsmview_trainset\117\18_eye_closed\17.jpg,0.010754034164453124,1.0
83,L:\DL_Dataset\facescape\fsmview_trainset\118\18_eye_closed\1.jpg,0.6122767633334746,1.0
84,L:\DL_Dataset\facescape\fsmview_trainset\118\18_eye_closed\33.jpg,0.3337864677145711,1.0
85,L:\DL_Dataset\facescape\fsmview_trainset\118\18_eye_closed\34.jpg,0.9214836401638897,1.0
86,L:\DL_Dataset\facescape\fsmview_trainset\118\18_eye_closed\43.jpg,0.9680176025955686,1.0
87,L:\DL_Dataset\facescape\fsmview_trainset\119\18_eye_closed\1.jpg,0.11206145269087923,1.0
88,L:\DL_Dataset\facescape\fsmview_trainset\119\18_eye_closed\33.jpg,0.034295501509741574,1.0
89,L:\DL_Dataset\facescape\fsmview_trainset\119\18_eye_closed\34.jpg,0.02800086245488169,1.0
90,L:\DL_Dataset\facescape\fsmview_trainset\119\18_eye_closed\43.jpg,0.1598445312320882,1.0
91,L:\DL_Dataset\facescape\fsmview_trainset\12\18_eye_closed\4.jpg,0.17164017773268747,1.0
92,L:\DL_Dataset\facescape\fsmview_trainset\12\18_eye_closed\21.jpg,0.17817332954499202,1.0
93,L:\DL_Dataset\facescape\fsmview_trainset\12\18_eye_closed\38.jpg,0.21501034635148075,1.0
94,L:\DL_Dataset\facescape\fsmview_trainset\12\18_eye_closed\55.jpg,0.23644358821370579,1.0
95,L:\DL_Dataset\facescape\fsmview_trainset\120\18_eye_closed\14.jpg,0.033408842097462574,1.0
96,L:\DL_Dataset\facescape\fsmview_trainset\120\18_eye_closed\16.jpg,0.21608986734720664,1.0
97,L:\DL_Dataset\facescape\fsmview_trainset\120\18_eye_closed\17.jpg,0.03865378348814248,1.0
98,L:\DL_Dataset\facescape\fsmview_trainset\120\18_eye_closed\18.jpg,0.0876112223257319,1.0
99,L:\DL_Dataset\facescape\fsmview_trainset\121\18_eye_closed\4.jpg,0.022723226098604925,1.0
100,L:\DL_Dataset\facescape\fsmview_trainset\121\18_eye_closed\24.jpg,0.07980514108146641,1.0
101,L:\DL_Dataset\facescape\fsmview_trainset\121\18_eye_closed\41.jpg,0.08939916924757371,1.0
102,L:\DL_Dataset\facescape\fsmview_trainset\121\18_eye_closed\48.jpg,0.15946128512377783,1.0
103,L:\DL_Dataset\facescape\fsmview_trainset\122\18_eye_closed\12.jpg,0.03293427992567558,1.0
104,L:\DL_Dataset\facescape\fsmview_trainset\122\18_eye_closed\32.jpg,0.01427596910312286,1.0
105,L:\DL_Dataset\facescape\fsmview_trainset\122\18_eye_closed\39.jpg,0.23990096249383755,1.0
106,L:\DL_Dataset\facescape\fsmview_trainset\122\18_eye_closed\51.jpg,0.22032189622951948,1.0
107,L:\DL_Dataset\facescape\fsmview_trainset\123\18_eye_closed\1.jpg,0.3821468715100691,1.0
108,L:\DL_Dataset\facescape\fsmview_trainset\123\18_eye_closed\32.jpg,0.013489052198318814,1.0
109,L:\DL_Dataset\facescape\fsmview_trainset\123\18_eye_closed\33.jpg,0.05860785799147941,1.0
110,L:\DL_Dataset\facescape\fsmview_trainset\123\18_eye_closed\42.jpg,0.03849544332599639,1.0
111,L:\DL_Dataset\facescape\fsmview_trainset\124\18_eye_closed\1.jpg,0.032124851733024685,1.0
112,L:\DL_Dataset\facescape\fsmview_trainset\124\18_eye_closed\33.jpg,0.19576004567949884,1.0
113,L:\DL_Dataset\facescape\fsmview_trainset\124\18_eye_closed\34.jpg,0.029979218684759827,1.0
114,L:\DL_Dataset\facescape\fsmview_trainset\124\18_eye_closed\43.jpg,0.034271051974477953,1.0
115,L:\DL_Dataset\facescape\fsmview_trainset\125\18_eye_closed\25.jpg,0.05655988327410577,1.0
116,L:\DL_Dataset\facescape\fsmview_trainset\125\18_eye_closed\27.jpg,0.020433520251521477,1.0
117,L:\DL_Dataset\facescape\fsmview_trainset\125\18_eye_closed\33.jpg,0.021637322701806475,1.0
118,L:\DL_Dataset\facescape\fsmview_trainset\125\18_eye_closed\60.jpg,0.37550936188502737,1.0
119,L:\DL_Dataset\facescape\fsmview_trainset\126\18_eye_closed\4.jpg,0.20848134848790043,1.0
120,L:\DL_Dataset\facescape\fsmview_trainset\126\18_eye_closed\14.jpg,0.015022381420136639,1.0
121,L:\DL_Dataset\facescape\fsmview_trainset\127\18_eye_closed\1.jpg,0.020933449553965495,1.0
122,L:\DL_Dataset\facescape\fsmview_trainset\127\18_eye_closed\33.jpg,0.2353313885995537,1.0
123,L:\DL_Dataset\facescape\fsmview_trainset\127\18_eye_closed\34.jpg,0.06418817297995161,1.0
124,L:\DL_Dataset\facescape\fsmview_trainset\127\18_eye_closed\42.jpg,0.0011098669579300683,1.0
125,L:\DL_Dataset\facescape\fsmview_trainset\128\18_eye_closed\15.jpg,0.1366320497862002,1.0
126,L:\DL_Dataset\facescape\fsmview_trainset\128\18_eye_closed\36.jpg,0.15470714353121903,1.0
127,L:\DL_Dataset\facescape\fsmview_trainset\128\18_eye_closed\41.jpg,0.19167726390053585,1.0
128,L:\DL_Dataset\facescape\fsmview_trainset\128\18_eye_closed\56.jpg,0.09529072788438285,1.0
129,L:\DL_Dataset\facescape\fsmview_trainset\129\18_eye_closed\14.jpg,0.050829911286735474,1.0
130,L:\DL_Dataset\facescape\fsmview_trainset\129\18_eye_closed\16.jpg,0.02925770065175976,1.0
131,L:\DL_Dataset\facescape\fsmview_trainset\129\18_eye_closed\17.jpg,0.011779656315784816,1.0
132,L:\DL_Dataset\facescape\fsmview_trainset\129\18_eye_closed\18.jpg,0.12074225163089754,1.0
133,L:\DL_Dataset\facescape\fsmview_trainset\13\18_eye_closed\0.jpg,0.061406988564876475,1.0
134,L:\DL_Dataset\facescape\fsmview_trainset\13\18_eye_closed\19.jpg,0.01341348307597269,1.0
135,L:\DL_Dataset\facescape\fsmview_trainset\13\18_eye_closed\23.jpg,0.013980618355766562,1.0
136,L:\DL_Dataset\facescape\fsmview_trainset\13\18_eye_closed\53.jpg,0.12085454099707393,1.0
137,L:\DL_Dataset\facescape\fsmview_trainset\130\18_eye_closed\1.jpg,0.02449713371329037,1.0
138,L:\DL_Dataset\facescape\fsmview_trainset\130\18_eye_closed\33.jpg,0.04985429136251721,1.0
139,L:\DL_Dataset\facescape\fsmview_trainset\130\18_eye_closed\34.jpg,0.04513460129756592,1.0
140,L:\DL_Dataset\facescape\fsmview_trainset\130\18_eye_closed\43.jpg,0.03182624299249603,1.0
141,L:\DL_Dataset\facescape\fsmview_trainset\131\18_eye_closed\24.jpg,0.04445966583036904,1.0
142,L:\DL_Dataset\facescape\fsmview_trainset\131\18_eye_closed\26.jpg,0.06930543445862883,1.0
143,L:\DL_Dataset\facescape\fsmview_trainset\131\18_eye_closed\32.jpg,0.14294295509934196,1.0
144,L:\DL_Dataset\facescape\fsmview_trainset\131\18_eye_closed\59.jpg,0.5345371939474126,1.0
145,L:\DL_Dataset\facescape\fsmview_trainset\132\18_eye_closed\14.jpg,0.09549565095749551,1.0
146,L:\DL_Dataset\facescape\fsmview_trainset\132\18_eye_closed\16.jpg,0.05044428605163805,1.0
147,L:\DL_Dataset\facescape\fsmview_trainset\132\18_eye_closed\17.jpg,0.15237601393093858,1.0
148,L:\DL_Dataset\facescape\fsmview_trainset\132\18_eye_closed\18.jpg,1.1291642016123609,1.0
149,L:\DL_Dataset\facescape\fsmview_trainset\133\18_eye_closed\14.jpg,0.010851069502768375,1.0
150,L:\DL_Dataset\facescape\fsmview_trainset\133\18_eye_closed\16.jpg,0.1240051226071227,1.0
151,L:\DL_Dataset\facescape\fsmview_trainset\133\18_eye_closed\17.jpg,0.24950463666520878,1.0
152,L:\DL_Dataset\facescape\fsmview_trainset\133\18_eye_closed\18.jpg,0.8915002094291489,1.0
153,L:\DL_Dataset\facescape\fsmview_trainset\134\18_eye_closed\25.jpg,0.017973139861755794,1.0
154,L:\DL_Dataset\facescape\fsmview_trainset\134\18_eye_closed\27.jpg,0.020094330972134956,1.0
155,L:\DL_Dataset\facescape\fsmview_trainset\134\18_eye_closed\33.jpg,0.002053689374206598,1.0
156,L:\DL_Dataset\facescape\fsmview_trainset\134\18_eye_closed\60.jpg,0.11616206409985658,1.0
157,L:\DL_Dataset\facescape\fsmview_trainset\135\18_eye_closed\14.jpg,0.18333321200531896,1.0
158,L:\DL_Dataset\facescape\fsmview_trainset\135\18_eye_closed\16.jpg,0.13977202605844563,1.0
159,L:\DL_Dataset\facescape\fsmview_trainset\135\18_eye_closed\17.jpg,0.31982825735522136,1.0
160,L:\DL_Dataset\facescape\fsmview_trainset\135\18_eye_closed\18.jpg,0.19540788184304056,1.0
161,L:\DL_Dataset\facescape\fsmview_trainset\136\18_eye_closed\1.jpg,0.16838327105338213,1.0
162,L:\DL_Dataset\facescape\fsmview_trainset\136\18_eye_closed\33.jpg,0.19336366353258957,1.0
163,L:\DL_Dataset\facescape\fsmview_trainset\136\18_eye_closed\34.jpg,0.031321227509074054,1.0
164,L:\DL_Dataset\facescape\fsmview_trainset\136\18_eye_closed\43.jpg,0.02959100181790753,1.0
165,L:\DL_Dataset\facescape\fsmview_trainset\137\18_eye_closed\25.jpg,0.04806752175081585,1.0
166,L:\DL_Dataset\facescape\fsmview_trainset\137\18_eye_closed\27.jpg,0.01987047143357457,1.0
167,L:\DL_Dataset\facescape\fsmview_trainset\137\18_eye_closed\32.jpg,0.04457980156667692,1.0
168,L:\DL_Dataset\facescape\fsmview_trainset\137\18_eye_closed\59.jpg,0.0549952735812249,1.0
169,L:\DL_Dataset\facescape\fsmview_trainset\138\18_eye_closed\25.jpg,0.19054706019799167,1.0
170,L:\DL_Dataset\facescape\fsmview_trainset\138\18_eye_closed\27.jpg,0.15860657663398353,1.0
171,L:\DL_Dataset\facescape\fsmview_trainset\138\18_eye_closed\32.jpg,0.04846128383286045,1.0
172,L:\DL_Dataset\facescape\fsmview_trainset\138\18_eye_closed\59.jpg,0.4706833433392054,1.0
173,L:\DL_Dataset\facescape\fsmview_trainset\139\18_eye_closed\2.jpg,0.04197469837400726,1.0
174,L:\DL_Dataset\facescape\fsmview_trainset\139\18_eye_closed\20.jpg,0.09852872335948659,1.0
175,L:\DL_Dataset\facescape\fsmview_trainset\139\18_eye_closed\46.jpg,0.35812642970506625,1.0
176,L:\DL_Dataset\facescape\fsmview_trainset\139\18_eye_closed\54.jpg,0.031405648069305646,1.0
177,L:\DL_Dataset\facescape\fsmview_trainset\14\18_eye_closed\25.jpg,0.03044361681024914,1.0
178,L:\DL_Dataset\facescape\fsmview_trainset\14\18_eye_closed\27.jpg,0.09334485222447746,1.0
179,L:\DL_Dataset\facescape\fsmview_trainset\14\18_eye_closed\33.jpg,0.2168814759056637,1.0
180,L:\DL_Dataset\facescape\fsmview_trainset\14\18_eye_closed\59.jpg,0.40092863462058237,1.0
181,L:\DL_Dataset\facescape\fsmview_trainset\140\18_eye_closed\1.jpg,0.08977822574461936,1.0
182,L:\DL_Dataset\facescape\fsmview_trainset\140\18_eye_closed\33.jpg,0.023247404525190557,1.0
183,L:\DL_Dataset\facescape\fsmview_trainset\140\18_eye_closed\34.jpg,0.07840538318887565,1.0
184,L:\DL_Dataset\facescape\fsmview_trainset\140\18_eye_closed\43.jpg,0.04635415636107035,1.0
185,L:\DL_Dataset\facescape\fsmview_trainset\141\18_eye_closed\1.jpg,0.34488208334617415,1.0
186,L:\DL_Dataset\facescape\fsmview_trainset\141\18_eye_closed\34.jpg,0.11008814441303635,1.0
187,L:\DL_Dataset\facescape\fsmview_trainset\141\18_eye_closed\35.jpg,0.01630705838884337,1.0
188,L:\DL_Dataset\facescape\fsmview_trainset\141\18_eye_closed\44.jpg,0.1996102715729073,1.0
189,L:\DL_Dataset\facescape\fsmview_trainset\142\18_eye_closed\1.jpg,0.005043297643691324,1.0
190,L:\DL_Dataset\facescape\fsmview_trainset\142\18_eye_closed\10.jpg,0.052838798043962326,1.0
191,L:\DL_Dataset\facescape\fsmview_trainset\142\18_eye_closed\29.jpg,0.14844634652644723,1.0
192,L:\DL_Dataset\facescape\fsmview_trainset\142\18_eye_closed\45.jpg,0.3176854540246054,1.0
193,L:\DL_Dataset\facescape\fsmview_trainset\143\18_eye_closed\14.jpg,0.014128129300927796,1.0
194,L:\DL_Dataset\facescape\fsmview_trainset\143\18_eye_closed\16.jpg,0.016226463056786097,1.0
195,L:\DL_Dataset\facescape\fsmview_trainset\143\18_eye_closed\17.jpg,0.012507327115605945,1.0
196,L:\DL_Dataset\facescape\fsmview_trainset\143\18_eye_closed\18.jpg,0.010039432210644903,1.0
197,L:\DL_Dataset\facescape\fsmview_trainset\144\18_eye_closed\14.jpg,0.0289530999670752,1.0
198,L:\DL_Dataset\facescape\fsmview_trainset\144\18_eye_closed\16.jpg,0.8027181319835706,1.0
